State,Suburb_Name,incident_count,eo,forecast,forecastaccuracy,risk,top_mechanism_1,top_mechanism_2,count_mechanism_1,count_mechanism_2,mechanism_per_1,mechanism_per_2,updated_on
Tasmania,Aberdeen ,69,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,58,43,0,0,2021-07-18 08:36:47.865692+00:00
Tasmania,Acacia Hills ,69,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,51,23,0,0,2021-07-18 08:36:47.865692+00:01
Tasmania,Acton ,51,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,43,38,0,0,2021-07-18 08:36:47.865692+00:02
Tasmania,Acton Park ,46,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,59,27,0,0,2021-07-18 08:36:47.865692+00:03
Tasmania,Adventure Bay,47,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,55,16,0,0,2021-07-18 08:36:47.865692+00:04
Tasmania,Akaroa,72,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,49,44,0,0,2021-07-18 08:36:47.865692+00:05
Tasmania,Allens Rivulet,58,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,43,38,0,0,2021-07-18 08:36:47.865692+00:06
Tasmania,Ambleside,73,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,51,42,0,0,2021-07-18 08:36:47.865692+00:07
Tasmania,Ansons Bay,77,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,57,33,0,0,2021-07-18 08:36:47.865692+00:08
Tasmania,Arthur River ,78,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,48,18,0,0,2021-07-18 08:36:47.865692+00:09
Tasmania,Austins Ferry,66,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,42,55,0,0,2021-07-18 08:36:47.865692+00:10
Tasmania,Avoca ,66,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,50,20,0,0,2021-07-18 08:36:47.865692+00:11
Tasmania,Bagdad,62,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,54,23,0,0,2021-07-18 08:36:47.865692+00:12
Tasmania,Bakers Beach,60,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,53,35,0,0,2021-07-18 08:36:47.865692+00:13
Tasmania,Barrington ,44,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,43,29,0,0,2021-07-18 08:36:47.865692+00:14
Tasmania,Battery Point,54,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,54,52,0,0,2021-07-18 08:36:47.865692+00:15
Tasmania,Beaconsfield ,78,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,43,53,0,0,2021-07-18 08:36:47.865692+00:16
Tasmania,Beaumaris ,74,0,0,0,No Risk,"Heat, electricity and other environmental factors",Vehicle incidents and other,60,37,0,0,2021-07-18 08:36:47.865692+00:17
Tasmania,Beauty Point,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:18
Tasmania,Beechford,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:19
Tasmania,Bell Bay,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:20
Tasmania,Bellerive,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:21
Tasmania,Bellingham,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:22
Tasmania,Berriedale,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:23
Tasmania,Bicheno,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:24
Tasmania,Binalong Bay,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:25
Tasmania,Birchs Bay,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:26
Tasmania,Birralee,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:27
Tasmania,Blackmans Bay,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:28
Tasmania,Blackstone Heights,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:29
Tasmania,Blackwall ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:30
Tasmania,Boat Harbour Beach,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:31
Tasmania,Bonnet Hill,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:32
Tasmania,Boomer Bay,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:33
Tasmania,Bothwell,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:34
Tasmania,Bracknell,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:35
Tasmania,Branxholm,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:36
Tasmania,Bridgenorth,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:37
Tasmania,Bridgewater ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:38
Tasmania,Bridport,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:39
Tasmania,Brighton ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:40
Tasmania,Broadmarsh,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:41
Tasmania,Brooklyn ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:42
Tasmania,Burnie,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:43
Tasmania,Bushy Park ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:44
Tasmania,Calder,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:45
