State,Suburb_Name,incident_count,eo,forecast,forecastaccuracy,risk,top_mechanism_1,top_mechanism_2,count_mechanism_1,count_mechanism_2,mechanism_per_1,mechanism_per_2,updated_on
Western Australia,Abbey,61,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,32,13,0,0,2021-07-18 08:36:47.865692+00:00
Western Australia,Acton Park ,85,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,24,14,0,0,2021-07-18 08:36:47.865692+00:01
Western Australia,Ajana,68,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,20,5,0,0,2021-07-18 08:36:47.865692+00:02
Western Australia,Albany,60,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,20,17,0,0,2021-07-18 08:36:47.865692+00:03
Western Australia,Alexander Heights,62,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,26,13,0,0,2021-07-18 08:36:47.865692+00:04
Western Australia,Alfred Cove,68,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,24,16,0,0,2021-07-18 08:36:47.865692+00:05
Western Australia,Allanson,84,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,31,13,0,0,2021-07-18 08:36:47.865692+00:06
Western Australia,Ambergate,57,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,21,6,0,0,2021-07-18 08:36:47.865692+00:07
Western Australia,Amelup,51,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,20,5,0,0,2021-07-18 08:36:47.865692+00:08
Western Australia,Anketell,61,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,24,11,0,0,2021-07-18 08:36:47.865692+00:09
Western Australia,Applecross,72,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,29,15,0,0,2021-07-18 08:36:47.865692+00:10
Western Australia,Ardross,77,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,22,18,0,0,2021-07-18 08:36:47.865692+00:11
Western Australia,Argyle ,70,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,22,16,0,0,2021-07-18 08:36:47.865692+00:12
Western Australia,Armadale ,73,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,20,16,0,0,2021-07-18 08:36:47.865692+00:13
Western Australia,Arrowsmith East,62,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,26,5,0,0,2021-07-18 08:36:47.865692+00:14
Western Australia,Arthur River ,65,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,30,19,0,0,2021-07-18 08:36:47.865692+00:15
Western Australia,Ascot ,85,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,34,16,0,0,2021-07-18 08:36:47.865692+00:16
Western Australia,Ashby ,52,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,26,15,0,0,2021-07-18 08:36:47.865692+00:17
Western Australia,Ashfield ,54,0,0,0,No Risk,Hitting objects with a part of the body,Body stressing,34,12,0,0,2021-07-18 08:36:47.865692+00:18
Western Australia,Attadale,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:19
Western Australia,Atwell,67,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:20
Western Australia,Aubin Grove,75,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:21
Western Australia,Augusta,57,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:22
Western Australia,Australind,62,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:23
Western Australia,Aveley,79,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:24
Western Australia,Avon Valley National Park,78,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:25
Western Australia,Badgingarra,71,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:26
Western Australia,Bakers Hill,76,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:27
Western Australia,Balcatta,67,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:28
Western Australia,Baldivis,64,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:29
Western Australia,Balga,66,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:30
Western Australia,Balingup,83,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:31
Western Australia,Ballajura,59,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:32
Western Australia,Bally Bally,82,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:33
Western Australia,Bandy Creek,55,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:34
Western Australia,Banjup,54,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:35
Western Australia,Banksia Grove,81,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:36
Western Australia,Barragup,54,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:37
Western Australia,Baskerville,85,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:38
Western Australia,Bassendean ,61,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:39
Western Australia,Bateman,69,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:40
Western Australia,Baudin,65,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:41
Western Australia,Baynton ,70,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:42
Western Australia,Bayonet Head,60,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:43
Western Australia,Bayswater ,52,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:44
Western Australia,Beachlands,59,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:45
Western Australia,Beacon,85,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:46
Western Australia,Beaconsfield ,61,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:47
Western Australia,Beckenham,63,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:48
Western Australia,Bedford,67,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:49
Western Australia,Bedfordale,83,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:50
Western Australia,Beechboro,65,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:51
Western Australia,Beeliar,54,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:52
Western Australia,Bejoording,74,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:53
Western Australia,Beldon,51,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:54
Western Australia,Belhus,76,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:55
Western Australia,Bellevue ,83,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:56
Western Australia,Belmont ,76,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:57
Western Australia,Bencubbin,55,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:58
Western Australia,Bentley ,66,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:59
Western Australia,Beresford,77,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:60
Western Australia,Bertram,55,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:61
Western Australia,Beverley ,54,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:62
Western Australia,Bibra Lake,50,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:63
