State,Suburb_Name,incident_count,eo,forecast,forecastaccuracy,risk,top_mechanism_1,top_mechanism_2,count_mechanism_1,count_mechanism_2,mechanism_per_1,mechanism_per_2,updated_on
Victoria,Abbotsford ,55,0,0,0,No Risk, Being hit by moving objects,Body stressing,29,7,0,0,2021-07-18 08:36:47.865692+00:00
Victoria,Aberfeldie,53,0,0,0,No Risk, Being hit by moving objects,Body stressing,33,10,0,0,2021-07-18 08:36:47.865692+00:01
Victoria,Acheron,53,0,0,0,No Risk, Being hit by moving objects,Body stressing,39,20,0,0,2021-07-18 08:36:47.865692+00:02
Victoria,Aireys Inlet,59,0,0,0,No Risk, Being hit by moving objects,Body stressing,25,8,0,0,2021-07-18 08:36:47.865692+00:03
Victoria,Airport West,45,0,0,0,No Risk, Being hit by moving objects,Body stressing,35,11,0,0,2021-07-18 08:36:47.865692+00:04
Victoria,Albanvale,65,0,0,0,No Risk, Being hit by moving objects,Body stressing,25,22,0,0,2021-07-18 08:36:47.865692+00:05
Victoria,Albert Park ,41,0,0,0,No Risk, Being hit by moving objects,Body stressing,29,12,0,0,2021-07-18 08:36:47.865692+00:06
Victoria,Alberton ,58,0,0,0,No Risk, Being hit by moving objects,Body stressing,29,23,0,0,2021-07-18 08:36:47.865692+00:07
Victoria,Albion ,53,0,0,0,No Risk, Being hit by moving objects,Body stressing,39,10,0,0,2021-07-18 08:36:47.865692+00:08
Victoria,Alexandra ,41,0,0,0,No Risk, Being hit by moving objects,Body stressing,33,20,0,0,2021-07-18 08:36:47.865692+00:09
Victoria,Alfredton,55,0,0,0,No Risk, Being hit by moving objects,Body stressing,25,21,0,0,2021-07-18 08:36:47.865692+00:10
Victoria,Allansford,52,0,0,0,No Risk, Being hit by moving objects,Body stressing,38,10,0,0,2021-07-18 08:36:47.865692+00:11
Victoria,Allendale,42,0,0,0,No Risk, Being hit by moving objects,Body stressing,25,20,0,0,2021-07-18 08:36:47.865692+00:12
Victoria,Alma ,41,0,0,0,No Risk, Being hit by moving objects,Body stressing,29,10,0,0,2021-07-18 08:36:47.865692+00:13
Victoria,Alphington,43,0,0,0,No Risk, Being hit by moving objects,Body stressing,36,10,0,0,2021-07-18 08:36:47.865692+00:14
Victoria,Altona ,63,0,0,0,No Risk, Being hit by moving objects,Body stressing,29,15,0,0,2021-07-18 08:36:47.865692+00:15
Victoria,Altona Meadows,53,0,0,0,No Risk, Being hit by moving objects,Body stressing,35,24,0,0,2021-07-18 08:36:47.865692+00:16
Victoria,Altona North,50,0,0,0,No Risk, Being hit by moving objects,Body stressing,33,24,0,0,2021-07-18 08:36:47.865692+00:17
Victoria,Amphitheatre,52,0,0,0,No Risk, Being hit by moving objects,Body stressing,33,21,0,0,2021-07-18 08:36:47.865692+00:18
Victoria,Anakie,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:19
Victoria,Anglesea,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:20
Victoria,Apollo Bay ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:21
Victoria,Apsley ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:22
Victoria,Ararat,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:23
Victoria,Arcadia ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:24
Victoria,Ardeer,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:25
Victoria,Ardmona,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:26
Victoria,Armadale ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:27
Victoria,Arthurs Creek,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:28
Victoria,Arthurs Seat,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:29
Victoria,Ascot ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:30
Victoria,Ascot ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:31
Victoria,Ascot Vale,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:32
Victoria,Ashbourne ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:33
Victoria,Ashburton,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:34
Victoria,Ashwood,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:35
Victoria,Aspendale,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:36
Victoria,Aspendale Gardens,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:37
Victoria,Athlone,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:38
Victoria,Attwood,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:39
Victoria,Avalon ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:40
Victoria,Avenel,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:41
Victoria,Avoca ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:42
Victoria,Avondale Heights,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:43
Victoria,Avonsleigh,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:44
Victoria,Axe Creek,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:45
Victoria,Axedale,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:46
Victoria,Bacchus Marsh,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:47
Victoria,Baddaginnie,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:48
Victoria,Badger Creek,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:49
Victoria,Bagshot,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:50
Victoria,Bailieston,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:51
Victoria,Bairnsdale,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:52
Victoria,Bakery Hill,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:53
Victoria,Balaclava ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:54
Victoria,Ballan,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:55
Victoria,Ballarat Central,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:56
Victoria,Ballarat East,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:57
Victoria,Ballarat North,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:58
Victoria,Ballendella,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:59
Victoria,Balliang,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:60
Victoria,Balmattum,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:61
Victoria,Balmoral ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:62
Victoria,Balnarring,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:63
Victoria,Balnarring Beach,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:64
Victoria,Balwyn,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:65
Victoria,Balwyn North,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:66
Victoria,Bamawm,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:67
Victoria,Bamawm Extension,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:68
Victoria,Bandiana,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:69
Victoria,Bangholme,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:70
Victoria,Bannockburn ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:71
Victoria,Baranduda,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:72
Victoria,Baringhup,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:73
Victoria,Barjarg,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:74
Victoria,Barkers Creek,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:75
