State,Suburb_Name,incident_count,eo,forecast,forecastaccuracy,risk,top_mechanism_1,top_mechanism_2,count_mechanism_1,count_mechanism_2,mechanism_per_1,mechanism_per_2,updated_on
Queensland,Abergowrie,70,0,0,0,No Risk,Body stressing,Mental stress,27,15,0,0,2021-07-18 08:36:47.865692+00:00
Queensland,Acacia Ridge,84,0,0,0,No Risk,Body stressing,Mental stress,43,11,0,0,2021-07-18 08:36:47.865692+00:01
Queensland,Acland,68,0,0,0,No Risk,Body stressing,Mental stress,33,16,0,0,2021-07-18 08:36:47.865692+00:02
Queensland,Adare,50,0,0,0,No Risk,Body stressing,Mental stress,31,19,0,0,2021-07-18 08:36:47.865692+00:03
Queensland,Adelaide Park,77,0,0,0,No Risk,Body stressing,Mental stress,42,11,0,0,2021-07-18 08:36:47.865692+00:04
Queensland,Advancetown,49,0,0,0,No Risk,Body stressing,Mental stress,26,1,0,0,2021-07-18 08:36:47.865692+00:05
Queensland,Aeroglen,65,0,0,0,No Risk,Body stressing,Mental stress,28,13,0,0,2021-07-18 08:36:47.865692+00:06
Queensland,Agnes Water,80,0,0,0,No Risk,Body stressing,Mental stress,35,1,0,0,2021-07-18 08:36:47.865692+00:07
Queensland,Airlie Beach,76,0,0,0,No Risk,Body stressing,Mental stress,32,0,0,0,2021-07-18 08:36:47.865692+00:08
Queensland,Airville,56,0,0,0,No Risk,Body stressing,Mental stress,35,0,0,0,2021-07-18 08:36:47.865692+00:09
Queensland,Aitkenvale,83,0,0,0,No Risk,Body stressing,Mental stress,31,16,0,0,2021-07-18 08:36:47.865692+00:10
Queensland,Alabama Hill,66,0,0,0,No Risk,Body stressing,Mental stress,33,13,0,0,2021-07-18 08:36:47.865692+00:11
Queensland,Albany Creek,55,0,0,0,No Risk,Body stressing,Mental stress,36,11,0,0,2021-07-18 08:36:47.865692+00:12
Queensland,Alberton ,85,0,0,0,No Risk,Body stressing,Mental stress,38,9,0,0,2021-07-18 08:36:47.865692+00:13
Queensland,Albion ,48,0,0,0,No Risk,Body stressing,Mental stress,38,1,0,0,2021-07-18 08:36:47.865692+00:14
Queensland,Alderley,71,0,0,0,No Risk,Body stressing,Mental stress,32,15,0,0,2021-07-18 08:36:47.865692+00:15
Queensland,Aldershot,83,0,0,0,No Risk,Body stressing,Mental stress,26,14,0,0,2021-07-18 08:36:47.865692+00:16
Queensland,Alexandra ,50,0,0,0,No Risk,Body stressing,Mental stress,42,4,0,0,2021-07-18 08:36:47.865692+00:17
Queensland,Alexandra Headland,84,0,0,0,No Risk,Body stressing,Mental stress,43,2,0,0,2021-07-18 08:36:47.865692+00:18
Queensland,Alexandra Hills,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:19
Queensland,Algester,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:20
Queensland,Alice River,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:21
Queensland,Allandale ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:22
Queensland,Allenstown,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:23
Queensland,Alligator Creek ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:24
Queensland,Alligator Creek ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:25
Queensland,Allora,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:26
Queensland,Alloway,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:27
Queensland,Aloomba,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:28
Queensland,Alpha,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:29
Queensland,Alton Downs,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:30
Queensland,Alva,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:31
Queensland,Amamoor,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:32
Queensland,Amberley,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:33
Queensland,Ambrose,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:34
Queensland,Amby,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:35
Queensland,Amiens,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:36
Queensland,Amity,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:37
Queensland,Andergrove,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:38
Queensland,Annandale ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:39
Queensland,Annerley,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:40
Queensland,Anstead,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:41
Queensland,Antigua,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:42
Queensland,Apple Tree Creek,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:43
Queensland,Applethorpe,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:44
Queensland,Arafura Sea,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:45
Queensland,Araluen ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:46
Queensland,Aramac,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:47
Queensland,Arana Hills,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:48
Queensland,Aratula ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:49
Queensland,Arcadia ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:50
Queensland,Archerfield,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:51
Queensland,Arcturus,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:52
Queensland,Argoon ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:53
Queensland,Armstrong Beach,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:54
Queensland,Armstrong Creek,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:55
Queensland,Aroona,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:56
Queensland,Arriga,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:57
Queensland,Arundel,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:58
Queensland,Ascot ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:59
Queensland,Ashfield ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:60
Queensland,Ashgrove,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:61
Queensland,Ashmore,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:62
Queensland,Aspley,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:63
Queensland,Atherton,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:64
Queensland,Athol,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:65
Queensland,Atkinsons Dam,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:66
Queensland,Aubigny,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:67
Queensland,Auchenflower,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:68
Queensland,Augathella,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:69
Queensland,Augustine Heights,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:70
Queensland,Aurukun,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:71
Queensland,Austinville,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:72
Queensland,Avenell Heights,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:73
Queensland,Avoca ,0,0,0,0,0,0,0,0,0,0,0,2021-07-18 08:36:47.865692+00:74
